test_number;start_vm;insert_schema;insert_data;select_table;select_rented;delete_data;delete_objects
11;34,74;6,60;356,59;1,20;1,28;3,83;0,87
12;33,45;5,15;335,72;1,30;1,41;4,34;0,94
13;36,26;6,41;372,12;1,53;2,00;6,29;1,26
14;41,39;6,26;431,95;3,25;4,24;15,09;3,60
15;36,38;6,37;369,20;1,51;1,77;5,09;1,44
16;41,01;8,06;393,42;1,70;1,37;5,72;1,62
17;39,18;4,77;365,99;2,03;2,32;5,07;0,96
18;35,95;5,56;391,89;1,70;1,87;8,09;2,08
19;41,69;6,96;407,8;1,15;1,26;4,87;1,15
20;40,13;6,45;404,55;1,29;1,55;4,72;1,94
