test_number;start_container;insert_schema;insert_data;select_table;select_rented;delete_data;drop_objects
17;1,664;1,811;171,181;0,635;0,618;3,488;0,723
2;1,616;2,397;177,682;0,767;1,172;6,186;1,019
3;2,491;3,435;178,006;1,107;1,046;4,140;1,355
4;1,996;2,619;178,920;1,174;0,803;3,842;1,010
6;1,917;2,945;178,276;1,753;0,693;4,020;0,917
18;1,603;2,278;206,256;0,832;0,652;4,079;0,883
16;2,045;1,844;175,132;0,711;0,623;3,635;0,778
10;1,587;2,053;182,382;0,521;0,501;3,400;0,725
12;2,158;8,357;178,512;0,878;1,483;4,998;0,889
15;3,757;2,186;167,913;0,740;0,667;3,527;0,725
